MAJOR_GROUP,TAXON,STATE,ORIGIN,SOURCE,NO.,SIZE_CLASS_[MM],MEAN_LENGTH_[MM],TOTAL_WET_WT_[MG],TOTAL_DRY_WT_[MG],INDIVIDUAL_WET_WT_[MG],INDIVIDUAL_DRY_WT_[MG]
Mollusca, Gastropoda; Platysuccinea portoricensis (inc. shell); ,adult,LEF El Verde [],f,1,12,12,507,,507,
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,13,13,,24.7,,24.7
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,13,13,,19,,19
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,14,14,,43.6,,43.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,14,14,,33.1,,33.1
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,14,14,,26.2,,26.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,15,15,,69.7,,69.7
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,15,15,,43.9,,43.9
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,18,18,,67.8,,67.8
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,18,18,,51.4,,51.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,18,18,,47.1,,47.1
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,20,20,,113,,113
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,20,20,,75.6,,75.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,20,20,,74,,74
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,20,20,,55.7,,55.7
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,25,25,,213.5,,214
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,25,25,,175.2,,175
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,28,28,,251.6,,252
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,32,32,,392.9,,393
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,36,36,,627.9,,628
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,39,39,,486.7,,487
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,40,40,,621.8,,622
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,40,40,,573,,573
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,40,40,,497.6,,498
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,42,42,,518.6,,519
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,43,43,,756.2,,756
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,47,47,,915.1,,915
Reptilia, Squamata; Amphisbaena caeca; ,adult,LEF El Verde [],f,1,280,280,16700,,16700,
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,15,12-Aug,10,,26.1,,1.74
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,15,13-17,15,,61.8,,4.12
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,31,18-22,20,,248.3,,8.01
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,20,23-27,25,,279.4,,14
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,25,28-32,30,,531.6,,21.3
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,25,33-37,35,,838.7,,33.5
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,16,38-42,40,,636,,39.8
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,17,38-42,40,,671.8,,39.5
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,12,43-47,45,,591.5,,49.3
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,11,43-47,45,,538.1,,48.9
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,14,48-52,50,,802.5,,57.3
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,1,55,55,,72.1,,72.1
Annelida, Oligochaeta; Eisenia foetida; ,adult,Edinburgh UK [2002],f,1,60,60,,70.9,,70.9
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [],f,43,4-Feb,3,4,2,0.093,0.047
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [2004],f,20,3,3,10,,0.5,
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [1996],a,300,7-Mar,5,,27,,0.09
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [2004],f,4,5,5,3,,0.75,
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [2004],f,29,5,5,31,,1.07,
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [1996],f,2,5,5,3,,1.5,
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [],f,32,6-May,5.5,26,9,0.813,0.281
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [],f,15,7-May,6,22,7.5,1.47,0.5
Insecta, Coleoptera; Scirtes sp.; ,larva,LEF El Verde [2004],f,6,6,6,8,,1.33,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],a,24,9-Apr,6.5,35,10,1.46,0.417
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,8,8,1,,1,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,8,8,2,,2,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,3,8,8,6,,2,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,10,10,2,,2,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,11,11,3,,3,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,11,11,3,,3,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,2,11,11,11,,5.5,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],a,7,13-Nov,12,38,12,5.43,1.71
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,13,13,6,,6,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,13,13,8,,8,
Insecta, Coleoptera; Platycrepidius sp. 2; ,larva,LEF El Verde [2004],f,1,13,13,13,,13,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],f,1,14,14,4,1,4,1
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,14,14,13,,13,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,15,15,13,5,13,5
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,15,15,23,,23,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,16,16,11,,11,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],a,8,15-19,17,173,58,21.6,7.25
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,17,17,21,,21,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,18,18,13,,13,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,18,18,18,,18,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],f,1,19,19,15,4,15,4
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,19,19,28,,28,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,20,20,35,,35,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,21,21,47,11,47,11
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],a,9,20-24,22,473,149,52.6,16.6
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,22,22,21,,21,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,24,24,79,,79,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,24,24,80,,80,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,25,25,61,24,61,24
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,25,25,61,24,61,24
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,25,25,50,17,50,17
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,26,26,60,,60,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],a,5,25-29,27,583,271,117,54.2
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,27,27,119,53,119,53
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,27,27,119,53,119,53
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],f,1,28,28,76,22,76,22
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,28,28,108,,108,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,29,29,97,,97,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,30,30,103,,103,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,30,30,136,,136,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,30,30,176,,176,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,31,31,94,,94,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,31,31,113,,113,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,32,32,122,,122,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [],f,1,32,32,125,,125,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,32,32,127,,127,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,34,34,144,,144,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [2004],f,1,35,35,203,,203,
Insecta, Coleoptera; Platycrepidius sp.; ,larva,LEF El Verde [1996],f,1,37,37,196,,196,
Insecta, Diptera; Chironomidae; ,larva,LEF El Verde [2001],f,380,1,1,,13,,0.034
Insecta, Diptera; Wyeomyia sp.; ,larva,LEF El Verde [1996],a,150,4-Jan,2.5,,4.5,,0.03
Insecta, Diptera; Tanytarsus sp.; ,larva,LEF El Verde [1996],a,258,4-Jan,2.5,77.4,5.2,0.3,0.02
Insecta, Diptera; Culex sp.; ,larva,LEF El Verde [2006],f,16,3,3,,8.93,,0.558
Insecta, Diptera; Culex secutor; ,larva,LEF El Verde [2005],f,32,2,2,2,,0.06,
Insecta, Diptera; Culex secutor; ,larva,LEF El Verde [2005],f,33,3,3,16,2,0.48,0.061
Insecta, Diptera; Culex secutor; ,larva,LEF El Verde [2005],f,94,4,4,82,10,0.87,0.106
Insecta, Diptera; Culex secutor; ,larva,LEF El Verde [2005],f,58,5,5,77,7,1.33,0.121
Insecta, Diptera; Culex secutor; ,larva,LEF El Verde [2005],f,58,5,5,74,8,1.28,0.138
Insecta, Diptera; Culex secutor; ,larva,LEF El Verde [2005],f,7,6,6,6,,0.86,
Insecta, Diptera; Culex antillummagnorum; ,larva,LEF El Verde [1996],a,121,5-Feb,3.5,174.2,8.5,1.44,0.07
Insecta, Diptera; Wyeomyia sp.; ,larva,LEF El Verde [],f,10,4-Mar,3.5,2,0.5,0.2,0.05
Insecta, Diptera; Corethrella sp.; ,larva,LEF El Verde [1996],a,73,5-Mar,4,70.8,5.8,0.97,0.079
Insecta, Diptera; Forcipomyia dominicana; ,larva,LEF El Verde [2004],f,17,4,4,4,1,0.235,0.059
Insecta, Diptera; Tanytarsus sp.; ,larva,LEF El Verde [],f,34,5-Mar,4,8,2,0.235,0.059
Insecta, Diptera; Culex antillummagnorum; ,larva,LEF El Verde [2004],f,17,4,4,13,,0.765,
Insecta, Diptera; Wyeomyia sp.+ Culex sp.; ,larva,LEF El Verde [],f,17,5-Apr,4.5,14,2.5,0.824,0.147
Insecta, Diptera; Tanypodinae; ,larva,LEF El Verde [1996],a,51,6-Mar,4.5,29.1,3.1,0.571,0.061
Insecta, Diptera; Forcipomyia dominicana; ,larva,LEF El Verde [2004],f,59,5,5,14,6,0.237,0.102
Insecta, Diptera; Culex antillummagnorum; ,larva,LEF El Verde [2004],f,7,5,5,9,,1.29,
Insecta, Diptera; Psychodidae; ,larva,LEF El Verde [],f,5,5,5,2,,0.4,
Insecta, Diptera; Wyeomyia sp.; ,larva,LEF El Verde [],f,11,6-May,5.5,21,3,1.91,0.273
Insecta, Diptera; Forcipomyia dominicana; ,larva,LEF El Verde [2004],f,27,6,6,8,3,0.296,0.111
Insecta, Diptera; Tanytarsus sp.; ,larva,LEF El Verde [1996],a,154,7-May,6,18.5,6.2,0.12,0.04
Insecta, Diptera; Wyeomyia sp.; ,larva,LEF El Verde [2004],f,1,6,6,1,,1,
Insecta, Diptera; Wyeomyia sp.; ,larva,LEF El Verde [],f,4,6.5,6.5,4,1,1,0.25
Insecta, Diptera; Wyeomyia sp.; ,larva,LEF El Verde [1996],a,322,8-May,6.5,,38.6,,0.12
Insecta, Diptera; Sphaeroceridae; ,larva,LEF El Verde [],f,2,9-Jun,7.5,6,1,3,0.5
Insecta, Diptera; Culex antillummagnorum; ,larva,,f,44,8,8,122,15,2.77,0.341
Insecta, Diptera; Psychodidae; ,larva,Toro Negro [2005],f,36,8,8,163,43,4.53,1.194
Insecta, Diptera; Sphaeroceridae; ,larva,LEF El Verde [1996],a,25,14-Mar,8.5,100.5,11.8,4.02,0.472
Insecta, Diptera; Psychodidae; ,larva,LEF El Verde [],f,5,10,10,27,11,5.4,2.2
Insecta, Diptera; Psychodidae; ,larva,LEF El Verde [2004],f,1,10,10,6,,6,
Insecta, Diptera; Psychodidae; ,larva,LEF El Verde [2004],f,4,10,10,27,,6.75,
Insecta, Diptera; Psychodidae; ,larva,LEF El Verde [2004],f,1,10,10,7,,7,
Insecta, Diptera; Sphaeroceridae; ,larva,LEF El Verde [2004],f,1,10,10,7,,7,
Insecta, Diptera; Tipulidae + Sphaeroceridae; ,larva,LEF El Verde [],f,9,17-May,11,50,3,5.56,0.333
Insecta, Diptera; Sphaeroceridae; ,larva,LEF El Verde [2004],f,1,11,11,8,,8,
Insecta, Diptera; Sphaeroceridae; ,larva,LEF El Verde [2004],f,1,11,11,12,,12,
Insecta, Diptera; Toxorhynchites; ,larva,LEF El Verde [1996],a,4,13-Nov,12,97.4,18.5,24.4,4.63
Insecta, Diptera; Sphaeroceridae; ,larva,LEF El Verde [],f,3,12,12,32,5,10.7,1.67
Insecta, Lepidoptera; Black hairy caterpillar; ,larva,LEF El Verde [],f,5,5,5,2,,0.4,
Insecta, Lepidoptera; Coleophoridae; ,larva,LEF El Verde [1996],a,35,8-Mar,5.5,105.7,11.6,3.02,0.331
Insecta, Lepidoptera; Black hairy caterpillar; ,larva,LEF El Verde [],f,5,10,10,27,11,5.4,2.2
Insecta, Lepidoptera; Black hairy caterpillar; ,larva,Toro Negro [2005],f,1,13,13,22,,22,
Insecta, Lepidoptera; looper; ,larva,LEF El Verde [2004],f,1,10,10,9,,9,
Arachnida, Araneae; Spider; ,adult,LEF El Verde [],f,1,12,12,73,,73,
Arachnida, Opiliones; Opilionid; ,adult,LEF El Verde [],f,1,5,5,42,15,42,15
Arachnida, Opiliones; Opilionid; ,adult,LEF El Verde [],f,1,5,5,15,6,15,6
Chilopoda,Centipede; ; ,adult,LEF El Verde [],f,1,9,9,1.5,0.6,1.5,0.6
Chilopoda,Scolopendromorpha; ; ,adult,LEF El Verde [],f,1,25,25,88,,88,
Chilopoda,Centipede; ; ,adult,LEF El Verde [],f,1,26,26,37,10.5,37,10.5
Chilopoda,Centipede; ; ,adult,LEF El Verde [],f,1,31,31,78,19,78,19
Chilopoda,Centipede; ; ,adult,LEF El Verde [],f,1,34,34,65,16,65,16
Chilopoda,Scolopendromorpha; ; ,adult,LEF El Verde [],f,1,34,34,85,,85,
Chilopoda,Centipede; ; ,adult,LEF El Verde [],f,1,35,35,130,,130,
Chilopoda,Scolopendromorpha; ; ,adult,LEF El Verde [],f,1,50,50,459,,459,
Chilopoda,Scolopendromorpha; ; ,adult,LEF El Verde [],f,1,57,57,862,202,862,202
Chilopoda,Centipede; ; ,adult,LEF El Verde [],f,1,69,69,45,16.5,45,16.5
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,6,6,0.5,0.3,0.5,0.3
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,8,8,7,2.5,7,2.5
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,10,10,9,4,9,4
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,10,10,7,1.75,7,1.75
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,11,11,22,6,22,6
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,13,13,24,10,24,10
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,13,13,24,7.5,24,7.5
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,15,15,35,14,35,14
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,16,16,42,11,42,11
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,17,17,54,23,54,23
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,18,18,65,19,65,19
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,20,20,79,27,79,27
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,20,20,84,26,84,26
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,20,20,66,25,66,25
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,21,21,107,42,107,42
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,21,21,74,20,74,20
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,21,21,83,20,83,20
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,24,24,59,,59,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,25,25,129,50,129,50
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,26,26,150,55,150,55
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,26,26,74,,74,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,27,27,151,42,151,42
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,28,28,66,,66,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,30,30,113,56,113,56
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,30,30,160,54,160,54
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,32,32,159,,159,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,32,32,168,,168,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,32,32,173,,173,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,33,33,253,,253,
Diplopoda,Millipede; ; ,,LEF El Verde [],f,1,41,41,302,84,302,84
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [],f,3,4-Mar,3.5,5,1.5,1.67,0.5
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [],f,4,5-Apr,4.5,7,4,1.75,1
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [],f,3,5,5,12,,4,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [],f,5,6-Apr,5.2,27,6,5.4,1.2
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [],f,10,4.5-7,5.7,64,17,6.4,1.7
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [],f,4,7-Jun,6.5,32,11,8,2.75
Isopoda,Oniscoid sp.; ; ,adult,LEF El Verde [],f,1,8,8,19,3.5,19,3.5
Annelida, Oligochaeta; Enchytridae; ,adult,LEF El Verde [1996],a,107,9-Mar,6,,7.5,,0.07
Arachnida, Araneae; Spider [various]; ,adult,LEF El Verde [1996],f,10,3-Jan,2,23,1,2.3,0.1
Arachnida, Araneae; Spider [jumping]; ,adult,LEF El Verde [1996],f,1,10,10,142,25,142,25
Arachnida, Opiliones; Opilionid; ,adult,LEF El Verde [1996],f,3,6-May,5.5,138,53,46,17.7
Chilopoda,Centipede; ; ,adult,LEF El Verde [1996],a,5,11-Apr,7.5,7,1.2,1.4,0.24
Chilopoda,Centipede; ; ,adult,LEF El Verde [1996],a,5,20-22,21,94,19.2,18.8,3.84
Chilopoda,Centipede; ; ,adult,LEF El Verde [1996],a,5,30-37,33.5,347,72.3,69.4,14.5
Diplopoda,Millipede; ; ,,LEF El Verde [1996],a,16,15-May,10,91.8,47,5.74,2.94
Diplopoda,Millipede; ; ,,LEF El Verde [1996],a,6,16-20,18,348,115,58,19.2
Diplopoda,Millipede; ; ,,LEF El Verde [1996],a,10,21-30,25.5,1111.8,353,111,35.3
Isopoda,Philoscia richmondi; ; ,adult,LEF El Verde [1996],f,21,<4,2.5,25,7,1.19,0.333
Isopoda,Philoscia richmondi; ; ,adult,LEF El Verde [1996],a,475,6-Feb,4,2380,233,5.01,0.491
Isopoda,Philoscia richmondi; ; ,adult,LEF El Verde [1996],f,48,6-Apr,5,265,52,5.52,1.08
Isopoda,Philoscia richmondi; ; ,adult,LEF El Verde [1996],f,12,8-Jun,7,148,27,12.3,2.25
Amphibia,Eleutherodactylus sp;  S-V length; ,adult,LEF El Verde [1999],f,1,30,30,,543,,543
Amphibia,Eleutherodactylus sp.;  S-V length; ,adult,LEF El Verde [1999],f,1,32,32,,550,,550
Onychophora,Peripatus sp.; ; ,adult,LEF El Verde [1999],f,1,80,80,1700,,1700,
Amphibia,Eleutherodactylus sp.;  S-V length; ,adult,LEF El Verde [2000],f,1,40,40,,3047,,3047
Amphibia,Eleutherodactylus sp.;  S-V length; ,adult,LEF El Verde [2000],f,1,,,,5750,,5750
Arachnida, Acari.Mites [various]; ; ,,LEF El Verde [2000],f,152,0.5-1,0.75,2.4,1,0.02,0.0066
Annelida, Oligochaeta; Lumbricidae; ,adult,LEF El Verde [2001],f,1,35,35,35,,35,
Annelida, Oligochaeta; Lumbricidae; ,adult,LEF El Verde [2001],f,1,40,40,10,,10,
Annelida, Oligochaeta; ; ,adult,LEF El Verde [2001],f,1,50,50,82,,82,
Annelida, Oligochaeta; Lumbricidae [blue Octochaetidae]; ,adult,LEF El Verde [2001],f,1,65,65,152,,152,
Annelida, Oligochaeta; Aulophorus superterrenus; ,adult,LEF El Verde [2003],f,185,5-Jan,3,,4,,0.022
Annelida, Oligochaeta.Aulophorus superterrenus; Aulophorus superterrenus; ,adult,LEF El Verde [2003],f,303,10-May,7.5,,17,,0.056
Annelida, Oligochaeta.Aulophorus superterrenus; Aulophorus superterrenus; ,adult,LEF El Verde [2003],f,113,15-Oct,12.5,,8,,0.071
Annelida, Oligochaeta.Aulophorus superterrenus; Aulophorus superterrenus; ,adult,LEF El Verde [2003],f,11,15-20,17.5,,1,,0.091
Amphibia,Eleutherodactylus sp;  S-V length; ,adult,LEF El Verde [2004],f,1,32,32,,2479,,2479
Amphibia,; Eleutherodactylus antillensis? S-V length; ,adult,LEF El Verde [2004],f,1,33,33,,3240,,3240
Annelida, Oligochaeta; ; ,adult,LEF El Verde [2004],f,2,20,20,6,,3,
Annelida, Oligochaeta.Enchytraeid [pink]; Enchytraeid [pink]; ,adult,LEF El Verde [2004],f,1,25,25,3,,3,
Arachnida, Araneae; Modismus montanus; ,,LEF El Verde [2004],f,1,2,2,2,,2,
Arachnida, Araneae; Masteria petrunkevichii; ,,LEF El Verde [2004],f,1,12,12,185,,185,
Arachnida, Opiliones; Opilionid; ,,LEF El Verde [2004],f,1,6,6,25,,25,
Chilopoda,Scolopendromorpha; ; ,,LEF El Verde [2004],f,1,20,20,16,,16,
Chilopoda,Scolopendromorpha; ; ,,LEF El Verde [2004],f,1,37,37,108,,108,
Chilopoda,Scolopendromorph; ; ,,LEF El Verde [2004],f,1,38,38,96,,96,
Chilopoda,Geophilomorpha; ; ,,LEF El Verde [2004],f,1,40,40,13,,13,
Diplopoda,Chordeumida; ; ,,LEF El Verde [2004],f,1,5,5,4,,4,
Diplopoda,Julida/Chordeumida ?; ; ,,LEF El Verde [2004],f,1,7,7,4,,4,
Diplopoda,Chordeumida; ; ,,LEF El Verde [2004],f,1,8,8,8,,8,
Diplopoda,Chordeumida; ; ,,LEF El Verde [2004],f,1,9,9,7,,7,
Diplopoda,Polydesmida; ; ,,LEF El Verde [2004],f,1,9,9,7,,7,
Diplopoda,Julida; ; ,,LEF El Verde [2004],f,1,10,10,14,,14,
Diplopoda,Julida ?; ; ,,LEF El Verde [2004],f,1,10,10,8,,8,
Diplopoda,Julida ?; ; ,,LEF El Verde [2004],f,1,11,11,7,,7,
Diplopoda,Julida ?; ; ,,LEF El Verde [2004],f,1,11,11,8,,8,
Diplopoda,Polydesmida; ; ,,LEF El Verde [2004],f,1,11,11,10,,10,
Diplopoda,Julida; ; ,,LEF El Verde [2004],f,1,12,12,33,,33,
Diplopoda,Polydesmida; ; ,,LEF El Verde [2004],f,1,12,12,14,,14,
Diplopoda,Polydesmida; ; ,,LEF El Verde [2004],f,1,12,12,16,,16,
Diplopoda,Julida; ; ,,LEF El Verde [2004],f,1,14,14,12,,12,
Diplopoda,Julida; ; ,,LEF El Verde [2004],f,1,15,15,15,,15,
Diplopoda,Julida ?; ; ,,LEF El Verde [2004],f,1,15,15,19,,19,
Diplopoda,Julida; ; ,,LEF El Verde [2004],f,1,16,16,11,,11,
Diplopoda,Spirobolida ?; ; ,,LEF El Verde [2004],f,1,21,21,45,,45,
Diplopoda,Millipede;  (golden brown); ,,LEF El Verde [2004],f,1,28,28,159,,159,
Diplopoda,Julida;  [golden]; ,,LEF El Verde [2004],f,1,30,30,212,,212,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,12,2,2,8,,0.667,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,3,3,3,4,,1.33,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,10,3,3,14,,1.4,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,3,4,4,8,,2.67,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,2,4,4,6,,3,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,4,5,5,14,,3.5,
